,season,episode,category,value,clue,answer
0,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",BROADWAY,200,"In a biographical musical, Adrienne Warren portrays this pop icon singing one of her biggest songs""Big wheel keep on turning [turning] / Proud Mary keep on burning [burning] / Rolling, rolling""",Tina Turner
1,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",NONSENSE WORDS,200,"This author gave us many nonsense words & was not afraid to use them in titles, as in ""Bartholomew and the Oobleck""",Dr. Seuss
2,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",LITERARY TERMS & DEVICES,200,"Italian for ""stopping place"" gives us this word for a part of a poem",stanza
3,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",THE GREATEST CANADIANS OF ALL TIME,200,"(Ryan Reynolds delivers the clue.)  With more than 40 books of poetry, fiction & essays to her name, this author has won the Booker Prize twice: for ""The Blind Assassin"" in 2000 & for ""The Testaments"" in 2019",(Margaret) Atwood
4,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",MATH TO ROMAN NUMERALS TO INITIALS TO NAMES,200,800 + 250 to this architect of a D.C. landmark dedicated in 1982,Maya Lin
5,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",WELCOME BACK BOYS!,200,"Inconsistently consistent, he took the oath of office on March 4, 1885 & was back for more on March 4, 1893",Grover Cleveland
6,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",BROADWAY,400,Oscar winner Diablo Cody wrote the book for this show that gets its title & music from Alanis Morissette's hit 1995 album,Jagged Little Pill
7,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",NONSENSE WORDS,400,"In one episode of ""The Big Bang Theory"", Sheldon says, ""you've fallen for one of my classic pranks"" & then this word",bazinga!
8,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",LITERARY TERMS & DEVICES,400,"It's the German word for a novel about the education & formative years of the protagonist; ""The Catcher in the Rye"" is one",a bildungsroman
9,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",THE GREATEST CANADIANS OF ALL TIME,400,"(Ryan Reynolds delivers the clue.)  This educator who thought the printed book was an institution that was fated to disappear gave us an aphorism that has not disappeared: ""the medium is the message""",Marshall McLuhan
10,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",MATH TO ROMAN NUMERALS TO INITIALS TO NAMES,400,"The square root of 4,000,000 to this guy who hit more than 500 career home runs from 1986 to 2001",Mark McGwire
11,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",WELCOME BACK BOYS!,400,He's the party hearty family member who returns home & gets a nifty meal in Luke 15,the Prodigal Son
12,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",BROADWAY,600,"The 2019 musical ""Hadestown"" goes straight to Hell with Tony winner André de Shields as this Greek messenger god""The wage is nothing and the work is hard / It’s a graveyard in Hadestown""""Way down Hadestown / Way down under the ground""",Hermes
13,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",NONSENSE WORDS,600,"Created as the name of the ""Lord High Everything Else"" in ""The Mikado"", it now means an important or self-important person",a pooh-bah
14,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",LITERARY TERMS & DEVICES,600,"This concept of divine intervention to resolve the plot was used in the Sophocles play ""Philoctetes""",deus ex machina
